2016 NFL TV RATINGS,,,,,,,,,,,,,,,,,,,,,,,,
DH = doubleheader; Single = singleheader,,,,,,,,,,,,,,,,,,,,,,,,
Window,Game,Net,Rtg.,+/-,Vwrs.,+/-,Strm.,18-49,Week,,,,,,,,,,,,,,,
Special,WSH/DAL,FOX,14.5,1%,35.1M,8%,?,11.3,12,,,,,,,,,,,,,,,
Special,MIN/DET,CBS,13,6%,27.6M,9%,?,?,12,,,,,,,,,,,,,,,
Late DH,CAR/OAK (63%),CBS,13.2,-14%,23.5M,-12%,?,6.9,12,,,,,,,,,,,,,,,
Special,IND/PIT,NBC,10.1,-27%,20.9M,-25%,?,6.9,12,,,,,,,,,,,,,,,
SNF,KC/DEN,NBC,10.7,-27%,18.4M,-27%,?,6.2,12,,,,,,,,,,,,,,,
Single,SEA/TB (39%),FOX,9.8,-20%,16.8M,-18%,?,5.1,12,,,,,,,,,,,,,,,
MNF,GB/PHI,ESPN,7.8,20%,13.1M,29%,254K,4.2,12,,,,,,,,,,,,,,,
Early DH,Regional action,CBS,7.6,27%,12.8M,31%,?,3.6,12,,,,,,,,,,,,,,,
Late DH,PHI/SEA (78%),CBS,13.6,-12%,24.4M,-11%,?,?,11,,,,,,,,,,,,,,,
SNF,GB/WSH,NBC,10.8,1%,18.7M,4%,?,6.2,11,,,,,,,,,,,,,,,
Early DH,BAL/DAL (72%),CBS,10.2,26%,17.6M,28%,?,?,11,,,,,,,,,,,,,,,
Single,CHI/NYG (30%),FOX,8.4,-19%,14.3M,-18%,?,?,11,,,,,,,,,,,,,,,
TNF**,NO/CAR,"NBC, NFLN",8.1,93%,13.3M,101%,305K,4.2,11,,,,,,,,,,,,,,,
MNF,HOU/OAK (Mexico),ESPN,6.9,-22%,11.8M,-17%,240K,4,11,,,,,,,,,,,,,,,
Late DH,DAL/PIT (92%),FOX,16.4,1%,28.9M,2%,?,?,10,,,,,,,,,,,,,,,
SNF,NE/SEA,NBC,12.7,11%,22.5M,16%,189K,7.7,10,,,,,,,,,,,,,,,
Early DH,ATL/PHI (44%),FOX,9.4,11%,15.9M,13%,?,?,10,,,,,,,,,,,,,,,
Single,Regional action,CBS,7.8,-33%,13.2M,-33%,?,?,10,,,,,,,,,,,,,,,
MNF,CIN/NYG,ESPN,6.7,-13%,10.7M,-12%,234K,3.6,10,,,,,,,,,,,,,,,
TNF,BAL/CLE,NFLN,3.5,-27%,5.7M,-25%,?,2,10,,,,,,,,,,,,,,,
Late DH,IND/GB (87%),CBS,11.7,-18%,20.2M,-16%,?,?,9,,,,,,,,,,,,,,,
Single,DAL/CLE (31%),FOX,11.6,-7%,20.2M,-4%,?,?,9,,,,,,,,,,,,,,,
SNF,DEN/OAK,NBC,10.4,-24%,18.3M,-20%,?,6.6,9,,,,,,,,,,,,,,,
Early DH,Regional action,CBS,6.9,-15%,11.3M,-14%,?,?,9,,,,,,,,,,,,,,,
MNF,BUF/SEA,ESPN,6.9,-5%,11.3M,-2%,241K,3.8,9,,,,,,,,,,,,,,,
TNF,ATL/TB,NFLN,3.6,-35%,5.8M,-34%,?,2.1,9,,,,,,,,,,,,,,,
Late DH,GB/ATL,FOX,13.1,-23%,22.7M,-23%,?,?,8,,,,,,,,,,,,,,,
SNF,PHI/DAL,NBC,10.2,-22%,18.0M,-22%,?,6.5,8,,,,,,,,,,,,,,,
Single,Regional action,CBS,9.5,13%,16.2M,15%,?,?,8,,,,,,,,,,,,,,,
